,iteration,value,metric
0,0,0.0,accuracy
1,0,1.443429708480835,loss
2,1,0.0,accuracy
3,1,1.4304146766662598,loss
4,2,0.125,accuracy
5,2,1.4178338050842285,loss
6,3,0.125,accuracy
7,3,1.4056236743927002,loss
8,4,0.25,accuracy
9,4,1.3943134546279907,loss
10,5,0.25,accuracy
11,5,1.3859777450561523,loss
12,6,0.25,accuracy
13,6,1.3783671855926514,loss
14,7,0.25,accuracy
15,7,1.3710408210754395,loss
16,8,0.25,accuracy
17,8,1.363959789276123,loss
18,9,0.25,accuracy
19,9,1.3570812940597534,loss
20,10,0.25,accuracy
21,10,1.3503432273864746,loss
22,11,0.25,accuracy
23,11,1.343774437904358,loss
24,12,0.25,accuracy
25,12,1.3374698162078857,loss
26,13,0.25,accuracy
27,13,1.3313210010528564,loss
28,14,0.25,accuracy
29,14,1.3250882625579834,loss
30,15,0.375,accuracy
31,15,1.31895112991333,loss
32,16,0.375,accuracy
33,16,1.3128961324691772,loss
34,17,0.375,accuracy
35,17,1.3069703578948975,loss
36,18,0.5,accuracy
37,18,1.3011009693145752,loss
38,19,0.625,accuracy
39,19,1.29534912109375,loss
40,20,0.625,accuracy
41,20,1.2898731231689453,loss
42,21,0.875,accuracy
43,21,1.284142017364502,loss
44,22,0.875,accuracy
45,22,1.278421401977539,loss
46,23,0.875,accuracy
47,23,1.2727272510528564,loss
48,24,0.875,accuracy
49,24,1.2670540809631348,loss
50,25,0.875,accuracy
51,25,1.261396050453186,loss
52,26,0.875,accuracy
53,26,1.2558224201202393,loss
54,27,0.875,accuracy
55,27,1.2504247426986694,loss
56,28,0.875,accuracy
57,28,1.244748592376709,loss
58,29,0.875,accuracy
59,29,1.2390620708465576,loss
60,30,0.875,accuracy
61,30,1.2333680391311646,loss
62,31,0.875,accuracy
63,31,1.2276666164398193,loss
64,32,0.875,accuracy
65,32,1.2219549417495728,loss
66,33,0.875,accuracy
67,33,1.2162303924560547,loss
68,34,0.875,accuracy
69,34,1.2103567123413086,loss
70,35,0.875,accuracy
71,35,1.2035012245178223,loss
72,36,0.875,accuracy
73,36,1.1967371702194214,loss
74,37,0.875,accuracy
75,37,1.1897835731506348,loss
76,38,0.75,accuracy
77,38,1.1828252077102661,loss
78,39,0.75,accuracy
79,39,1.1758601665496826,loss
80,40,0.75,accuracy
81,40,1.168886661529541,loss
82,41,0.75,accuracy
83,41,1.161902904510498,loss
84,42,0.75,accuracy
85,42,1.1549075841903687,loss
86,43,0.75,accuracy
87,43,1.1479272842407227,loss
88,44,0.75,accuracy
89,44,1.1409597396850586,loss
90,45,0.75,accuracy
91,45,1.1339744329452515,loss
92,46,0.75,accuracy
93,46,1.1269713640213013,loss
94,47,0.75,accuracy
95,47,1.1199496984481812,loss
96,48,0.75,accuracy
97,48,1.1129094362258911,loss
98,49,0.75,accuracy
99,49,1.1058499813079834,loss
100,50,0.75,accuracy
101,50,1.0987718105316162,loss
102,51,0.75,accuracy
103,51,1.0916742086410522,loss
104,52,0.75,accuracy
105,52,1.0845578908920288,loss
106,53,0.75,accuracy
107,53,1.0774229764938354,loss
108,54,0.75,accuracy
109,54,1.0702693462371826,loss
110,55,0.75,accuracy
111,55,1.0630979537963867,loss
112,56,0.75,accuracy
113,56,1.0559091567993164,loss
114,57,0.75,accuracy
115,57,1.0487034320831299,loss
116,58,0.75,accuracy
117,58,1.0414825677871704,loss
118,59,0.75,accuracy
119,59,1.034258246421814,loss
120,60,0.75,accuracy
121,60,1.0270192623138428,loss
122,61,0.75,accuracy
123,61,1.0197654962539673,loss
124,62,0.75,accuracy
125,62,1.0127249956130981,loss
126,63,0.75,accuracy
127,63,1.005658507347107,loss
128,64,0.75,accuracy
129,64,0.9986438751220703,loss
130,65,0.75,accuracy
131,65,0.9916062951087952,loss
132,66,0.75,accuracy
133,66,0.9844581484794617,loss
134,67,0.75,accuracy
135,67,0.9773460626602173,loss
136,68,0.75,accuracy
137,68,0.9702710509300232,loss
138,69,0.75,accuracy
139,69,0.9630464315414429,loss
140,70,0.75,accuracy
141,70,0.9559011459350586,loss
142,71,0.75,accuracy
143,71,0.948742687702179,loss
144,72,0.75,accuracy
145,72,0.9414502382278442,loss
146,73,0.75,accuracy
147,73,0.9343447089195251,loss
148,74,0.75,accuracy
149,74,0.9270487427711487,loss
150,75,0.75,accuracy
151,75,0.9198181629180908,loss
152,76,0.75,accuracy
153,76,0.9126031398773193,loss
154,77,0.75,accuracy
155,77,0.9052868485450745,loss
156,78,0.75,accuracy
157,78,0.8981239199638367,loss
158,79,0.75,accuracy
159,79,0.8907630443572998,loss
160,80,0.75,accuracy
161,80,0.8836216330528259,loss
162,81,0.75,accuracy
163,81,0.8762543797492981,loss
164,82,0.75,accuracy
165,82,0.8691046833992004,loss
166,83,0.75,accuracy
167,83,0.8617720603942871,loss
168,84,0.75,accuracy
169,84,0.8545837998390198,loss
170,85,0.75,accuracy
171,85,0.847325325012207,loss
172,86,0.875,accuracy
173,86,0.840069055557251,loss
174,87,0.875,accuracy
175,87,0.8329238891601562,loss
176,88,0.875,accuracy
177,88,0.8256095051765442,loss
178,89,0.875,accuracy
179,89,0.8185375332832336,loss
180,90,0.875,accuracy
181,90,0.8113090991973877,loss
182,91,0.875,accuracy
183,91,0.8040771484375,loss
184,92,0.875,accuracy
185,92,0.797069787979126,loss
186,93,0.875,accuracy
187,93,0.789861261844635,loss
188,94,0.875,accuracy
189,94,0.7826946377754211,loss
190,95,0.875,accuracy
191,95,0.7757453918457031,loss
192,96,0.875,accuracy
193,96,0.7686124444007874,loss
194,97,0.875,accuracy
195,97,0.7615147233009338,loss
196,98,0.875,accuracy
197,98,0.7545509338378906,loss
198,99,0.875,accuracy
199,99,0.747590184211731,loss
200,100,0.875,accuracy
201,100,0.740829348564148,loss
202,101,0.875,accuracy
203,101,0.7340436577796936,loss
204,102,0.875,accuracy
205,102,0.727106511592865,loss
206,103,0.875,accuracy
207,103,0.720255970954895,loss
208,104,0.875,accuracy
209,104,0.7134018540382385,loss
210,105,0.875,accuracy
211,105,0.7069941163063049,loss
212,106,0.875,accuracy
213,106,0.700072169303894,loss
214,107,0.875,accuracy
215,107,0.6933314800262451,loss
216,108,0.875,accuracy
217,108,0.6868293285369873,loss
218,109,0.875,accuracy
219,109,0.6803426146507263,loss
220,110,0.875,accuracy
221,110,0.6735183000564575,loss
222,111,0.875,accuracy
223,111,0.6669777035713196,loss
224,112,0.875,accuracy
225,112,0.6606901288032532,loss
226,113,0.875,accuracy
227,113,0.6540567278862,loss
228,114,0.875,accuracy
229,114,0.6476393342018127,loss
230,115,0.875,accuracy
231,115,0.6414064764976501,loss
232,116,0.875,accuracy
233,116,0.6347370147705078,loss
234,117,0.875,accuracy
235,117,0.6286260485649109,loss
236,118,0.875,accuracy
237,118,0.6222649812698364,loss
238,119,0.875,accuracy
239,119,0.6158034205436707,loss
240,120,0.875,accuracy
241,120,0.6099065542221069,loss
242,121,0.875,accuracy
243,121,0.6034017205238342,loss
244,122,0.875,accuracy
245,122,0.597494900226593,loss
246,123,0.875,accuracy
247,123,0.5912923216819763,loss
248,124,0.875,accuracy
249,124,0.5851512551307678,loss
250,125,1.0,accuracy
251,125,0.5792280435562134,loss
252,126,1.0,accuracy
253,126,0.573020339012146,loss
254,127,1.0,accuracy
255,127,0.5672946572303772,loss
256,128,1.0,accuracy
257,128,0.5610865354537964,loss
258,129,1.0,accuracy
259,129,0.5554977059364319,loss
260,130,1.0,accuracy
261,130,0.5493403077125549,loss
262,131,1.0,accuracy
263,131,0.5438429117202759,loss
264,132,1.0,accuracy
265,132,0.537775993347168,loss
266,133,1.0,accuracy
267,133,0.5323358178138733,loss
268,134,1.0,accuracy
269,134,0.5263907313346863,loss
270,135,1.0,accuracy
271,135,0.5209812521934509,loss
272,136,1.0,accuracy
273,136,0.5151827931404114,loss
274,137,1.0,accuracy
275,137,0.5097841024398804,loss
276,138,1.0,accuracy
277,138,0.5041523575782776,loss
278,139,1.0,accuracy
279,139,0.4987486004829407,loss
280,140,1.0,accuracy
281,140,0.4932995140552521,loss
282,141,1.0,accuracy
283,141,0.48787885904312134,loss
284,142,1.0,accuracy
285,142,0.48262539505958557,loss
286,143,1.0,accuracy
287,143,0.47717827558517456,loss
288,144,1.0,accuracy
289,144,0.47213101387023926,loss
290,145,1.0,accuracy
291,145,0.466714084148407,loss
292,146,1.0,accuracy
293,146,0.4617578685283661,loss
294,147,1.0,accuracy
295,147,0.45654603838920593,loss
296,148,1.0,accuracy
297,148,0.45144325494766235,loss
298,149,1.0,accuracy
299,149,0.44654548168182373,loss
300,150,1.0,accuracy
301,150,0.4414110779762268,loss
302,151,1.0,accuracy
303,151,0.43663257360458374,loss
304,152,1.0,accuracy
305,152,0.4317159056663513,loss
306,153,1.0,accuracy
307,153,0.4267561435699463,loss
308,154,1.0,accuracy
309,154,0.422180712223053,loss
310,155,1.0,accuracy
311,155,0.4173513650894165,loss
312,156,1.0,accuracy
313,156,0.41255587339401245,loss
314,157,1.0,accuracy
315,157,0.4081077575683594,loss
316,158,1.0,accuracy
317,158,0.40343546867370605,loss
318,159,1.0,accuracy
319,159,0.39879855513572693,loss
320,160,1.0,accuracy
321,160,0.3944272994995117,loss
322,161,1.0,accuracy
323,161,0.3899589478969574,loss
324,162,1.0,accuracy
325,162,0.3854767680168152,loss
326,163,1.0,accuracy
327,163,0.3811475932598114,loss
328,164,1.0,accuracy
329,164,0.37691524624824524,loss
330,165,1.0,accuracy
331,165,0.3725849390029907,loss
332,166,1.0,accuracy
333,166,0.36832115054130554,loss
334,167,1.0,accuracy
335,167,0.36424320936203003,loss
336,168,1.0,accuracy
337,168,0.3601363003253937,loss
338,169,1.0,accuracy
339,169,0.3560137450695038,loss
340,170,1.0,accuracy
341,170,0.3519524335861206,loss
342,171,1.0,accuracy
343,171,0.34801313281059265,loss
344,172,1.0,accuracy
345,172,0.3441319167613983,loss
346,173,1.0,accuracy
347,173,0.3402063250541687,loss
348,174,1.0,accuracy
349,174,0.33633822202682495,loss
350,175,1.0,accuracy
351,175,0.3325243890285492,loss
352,176,1.0,accuracy
353,176,0.3288097083568573,loss
354,177,1.0,accuracy
355,177,0.32514888048171997,loss
356,178,1.0,accuracy
357,178,0.32146328687667847,loss
358,179,1.0,accuracy
359,179,0.31783047318458557,loss
360,180,1.0,accuracy
361,180,0.31424790620803833,loss
362,181,1.0,accuracy
363,181,0.31071382761001587,loss
364,182,1.0,accuracy
365,182,0.3072267174720764,loss
366,183,1.0,accuracy
367,183,0.30383190512657166,loss
368,184,1.0,accuracy
369,184,0.3004467487335205,loss
370,185,1.0,accuracy
371,185,0.29707926511764526,loss
372,186,1.0,accuracy
373,186,0.2937585115432739,loss
374,187,1.0,accuracy
375,187,0.2904830574989319,loss
376,188,1.0,accuracy
377,188,0.2872515320777893,loss
378,189,1.0,accuracy
379,189,0.284062922000885,loss
380,190,1.0,accuracy
381,190,0.2809164226055145,loss
382,191,1.0,accuracy
383,191,0.2778112590312958,loss
384,192,1.0,accuracy
385,192,0.2747468054294586,loss
386,193,1.0,accuracy
387,193,0.27172234654426575,loss
388,194,1.0,accuracy
389,194,0.26873740553855896,loss
390,195,1.0,accuracy
391,195,0.2657913565635681,loss
392,196,1.0,accuracy
393,196,0.2628837525844574,loss
394,197,1.0,accuracy
395,197,0.2600141167640686,loss
396,198,1.0,accuracy
397,198,0.2571818232536316,loss
398,199,1.0,accuracy
399,199,0.2543865144252777,loss
400,200,1.0,accuracy
401,200,0.25162771344184875,loss
402,201,1.0,accuracy
403,201,0.24890492856502533,loss
404,202,1.0,accuracy
405,202,0.2462177276611328,loss
406,203,1.0,accuracy
407,203,0.24356570839881897,loss
408,204,1.0,accuracy
409,204,0.24094831943511963,loss
410,205,1.0,accuracy
411,205,0.23836520314216614,loss
412,206,1.0,accuracy
413,206,0.23581597208976746,loss
414,207,1.0,accuracy
415,207,0.2333001047372818,loss
416,208,1.0,accuracy
417,208,0.23081724345684052,loss
418,209,1.0,accuracy
419,209,0.2283669412136078,loss
420,210,1.0,accuracy
421,210,0.2259487509727478,loss
422,211,1.0,accuracy
423,211,0.2235623300075531,loss
424,212,1.0,accuracy
425,212,0.22120726108551025,loss
426,213,1.0,accuracy
427,213,0.21888317167758942,loss
428,214,1.0,accuracy
429,214,0.21658951044082642,loss
430,215,1.0,accuracy
431,215,0.21432611346244812,loss
432,216,1.0,accuracy
433,216,0.21209244430065155,loss
434,217,1.0,accuracy
435,217,0.20988808572292328,loss
436,218,1.0,accuracy
437,218,0.2077127993106842,loss
438,219,1.0,accuracy
439,219,0.20556610822677612,loss
440,220,1.0,accuracy
441,220,0.2034476101398468,loss
442,221,1.0,accuracy
443,221,0.20135703682899475,loss
444,222,1.0,accuracy
445,222,0.19929395616054535,loss
446,223,1.0,accuracy
447,223,0.19725796580314636,loss
448,224,1.0,accuracy
449,224,0.1952487826347351,loss
450,225,1.0,accuracy
451,225,0.19326606392860413,loss
452,226,1.0,accuracy
453,226,0.19130939245224,loss
454,227,1.0,accuracy
455,227,0.18937841057777405,loss
456,228,1.0,accuracy
457,228,0.1874728500843048,loss
458,229,1.0,accuracy
459,229,0.185592383146286,loss
460,230,1.0,accuracy
461,230,0.1837366223335266,loss
462,231,1.0,accuracy
463,231,0.18190516531467438,loss
464,232,1.0,accuracy
465,232,0.1800978183746338,loss
466,233,1.0,accuracy
467,233,0.17831416428089142,loss
468,234,1.0,accuracy
469,234,0.17655393481254578,loss
470,235,1.0,accuracy
471,235,0.1748167872428894,loss
472,236,1.0,accuracy
473,236,0.1731024533510208,loss
474,237,1.0,accuracy
475,237,0.17144407331943512,loss
476,238,1.0,accuracy
477,238,0.169928640127182,loss
478,239,1.0,accuracy
479,239,0.1682761162519455,loss
480,240,1.0,accuracy
481,240,0.1668291985988617,loss
482,241,1.0,accuracy
483,241,0.16523495316505432,loss
484,242,1.0,accuracy
485,242,0.16380348801612854,loss
486,243,1.0,accuracy
487,243,0.162277489900589,loss
488,244,1.0,accuracy
489,244,0.16088038682937622,loss
490,245,1.0,accuracy
491,245,0.1593974232673645,loss
492,246,1.0,accuracy
493,246,0.15805071592330933,loss
494,247,1.0,accuracy
495,247,0.15659062564373016,loss
496,248,1.0,accuracy
497,248,0.15530745685100555,loss
498,249,1.0,accuracy
499,249,0.15386724472045898,loss
500,250,1.0,accuracy
501,250,0.15263541042804718,loss
502,251,1.0,accuracy
503,251,0.1512550413608551,loss
504,252,1.0,accuracy
505,252,0.14999528229236603,loss
506,253,1.0,accuracy
507,253,0.14871510863304138,loss
508,254,1.0,accuracy
509,254,0.14741989970207214,loss
510,255,1.0,accuracy
511,255,0.14624440670013428,loss
512,256,1.0,accuracy
513,256,0.1449444591999054,loss
514,257,1.0,accuracy
515,257,0.14380519092082977,loss
516,258,1.0,accuracy
517,258,0.14258144795894623,loss
518,259,1.0,accuracy
519,259,0.14137712121009827,loss
520,260,1.0,accuracy
521,260,0.1402796357870102,loss
522,261,1.0,accuracy
523,261,0.13906697928905487,loss
524,262,1.0,accuracy
525,262,0.13797979056835175,loss
526,263,1.0,accuracy
527,263,0.13686086237430573,loss
528,264,1.0,accuracy
529,264,0.1356978863477707,loss
530,265,1.0,accuracy
531,265,0.13470225036144257,loss
532,266,1.0,accuracy
533,266,0.13358083367347717,loss
534,267,1.0,accuracy
535,267,0.13248655200004578,loss
536,268,1.0,accuracy
537,268,0.13151538372039795,loss
538,269,1.0,accuracy
539,269,0.13042522966861725,loss
540,270,1.0,accuracy
541,270,0.1294010728597641,loss
542,271,1.0,accuracy
543,271,0.1284615844488144,loss
544,272,1.0,accuracy
545,272,0.12740139663219452,loss
546,273,1.0,accuracy
547,273,0.1264404058456421,loss
548,274,1.0,accuracy
549,274,0.12551267445087433,loss
550,275,1.0,accuracy
551,275,0.12449535727500916,loss
552,276,1.0,accuracy
553,276,0.12357600033283234,loss
554,277,1.0,accuracy
555,277,0.12267866730690002,loss
556,278,1.0,accuracy
557,278,0.1216987743973732,loss
558,279,1.0,accuracy
559,279,0.12080420553684235,loss
560,280,1.0,accuracy
561,280,0.11995134502649307,loss
562,281,1.0,accuracy
563,281,0.11900496482849121,loss
564,282,1.0,accuracy
565,282,0.11812442541122437,loss
566,283,1.0,accuracy
567,283,0.11730872094631195,loss
568,284,1.0,accuracy
569,284,0.11640844494104385,loss
570,285,1.0,accuracy
571,285,0.11553081125020981,loss
572,286,1.0,accuracy
573,286,0.11477236449718475,loss
574,287,1.0,accuracy
575,287,0.11390450596809387,loss
576,288,1.0,accuracy
577,288,0.11305610835552216,loss
578,289,1.0,accuracy
579,289,0.11229927837848663,loss
580,290,1.0,accuracy
581,290,0.11149583756923676,loss
582,291,1.0,accuracy
583,291,0.11066951602697372,loss
584,292,1.0,accuracy
585,292,0.10988304018974304,loss
586,293,1.0,accuracy
587,293,0.10916802287101746,loss
588,294,1.0,accuracy
589,294,0.10836370289325714,loss
590,295,1.0,accuracy
591,295,0.10757371783256531,loss
592,296,1.0,accuracy
593,296,0.10687718540430069,loss
594,297,1.0,accuracy
595,297,0.10613700747489929,loss
596,298,1.0,accuracy
597,298,0.10537548363208771,loss
598,299,1.0,accuracy
599,299,0.10464446991682053,loss
600,300,1.0,accuracy
601,300,0.1039838194847107,loss
602,301,1.0,accuracy
603,301,0.10325290262699127,loss
604,302,1.0,accuracy
605,302,0.10252612084150314,loss
606,303,1.0,accuracy
607,303,0.10186617821455002,loss
608,304,1.0,accuracy
609,304,0.10119470953941345,loss
610,305,1.0,accuracy
611,305,0.10048611462116241,loss
612,306,1.0,accuracy
613,306,0.0997886210680008,loss
614,307,1.0,accuracy
615,307,0.09920129925012589,loss
616,308,1.0,accuracy
617,308,0.09853965789079666,loss
618,309,1.0,accuracy
619,309,0.0978473648428917,loss
620,310,1.0,accuracy
621,310,0.09720651060342789,loss
622,311,1.0,accuracy
623,311,0.09662958979606628,loss
624,312,1.0,accuracy
625,312,0.09596411883831024,loss
626,313,1.0,accuracy
627,313,0.09531813114881516,loss
628,314,1.0,accuracy
629,314,0.09474039077758789,loss
630,315,1.0,accuracy
631,315,0.09415026009082794,loss
632,316,1.0,accuracy
633,316,0.09351850301027298,loss
634,317,1.0,accuracy
635,317,0.09289447218179703,loss
636,318,1.0,accuracy
637,318,0.09237058460712433,loss
638,319,1.0,accuracy
639,319,0.09177549928426743,loss
640,320,1.0,accuracy
641,320,0.09116962552070618,loss
642,321,1.0,accuracy
643,321,0.09058474749326706,loss
644,322,1.0,accuracy
645,322,0.09007828682661057,loss
646,323,1.0,accuracy
647,323,0.0894903689622879,loss
648,324,1.0,accuracy
649,324,0.08890948444604874,loss
650,325,1.0,accuracy
651,325,0.08838562667369843,loss
652,326,1.0,accuracy
653,326,0.08786291629076004,loss
654,327,1.0,accuracy
655,327,0.08729880303144455,loss
656,328,1.0,accuracy
657,328,0.08674125373363495,loss
658,329,1.0,accuracy
659,329,0.08626953512430191,loss
660,330,1.0,accuracy
661,330,0.08574186265468597,loss
662,331,1.0,accuracy
663,331,0.08519960939884186,loss
664,332,1.0,accuracy
665,332,0.08466358482837677,loss
666,333,1.0,accuracy
667,333,0.08421329408884048,loss
668,334,1.0,accuracy
669,334,0.0836983397603035,loss
670,335,1.0,accuracy
671,335,0.0831771194934845,loss
672,336,1.0,accuracy
673,336,0.08266721665859222,loss
674,337,1.0,accuracy
675,337,0.08223917335271835,loss
676,338,1.0,accuracy
677,338,0.08173227310180664,loss
678,339,1.0,accuracy
679,339,0.08123104274272919,loss
680,340,1.0,accuracy
681,340,0.08075680583715439,loss
682,341,1.0,accuracy
683,341,0.08033357560634613,loss
684,342,1.0,accuracy
685,342,0.07984547317028046,loss
686,343,1.0,accuracy
687,343,0.07936269789934158,loss
688,344,1.0,accuracy
689,344,0.07889898866415024,loss
690,345,1.0,accuracy
691,345,0.07849447429180145,loss
